"Date";"temp";"hum";"viento";"pres"
2020-01-01;21,8;69,7;0,29;1008,7
2020-01-02;21,9;69,2;0,63;1009,4
2020-01-03;21,3;74,2;0,71;1010,6
2020-01-04;21,2;76,6;0,47;1010,6
2020-01-05;22,2;72,4;0,32;1011,3
2020-01-06;22,7;68,3;0,31;1009,7
2020-01-07;22,3;74;0,44;1008,6
2020-01-08;21,6;72;0,81;1010,2
2020-01-09;20,9;72,9;0,96;1009,2
2020-01-10;20,5;75,2;0,5;1007
2020-01-11;20,6;76,2;0,51;1005,8
2020-01-12;20,7;75;0,62;1006,4
2020-01-13;20,9;75,1;0,45;1006,9
2020-01-14;20,7;73,5;0,41;1006,2
2020-01-15;20,9;71,5;0,35;1006,1
2020-01-16;21,5;69,6;0,25;1006,3
2020-01-17;21,4;74,8;0,72;1005
2020-01-18;21,9;78,9;0,53;1005
2020-01-19;22,1;77,3;0,29;1006,1
2020-01-20;22,3;72,5;0,43;1006,7
2020-01-21;22,5;71,3;0,44;1007
2020-01-22;23,3;69,4;0,23;1007,4
2020-01-23;23,7;70,8;0,12;1008,7
2020-01-24;23,8;80,2;0,09;1009,2
2020-01-25;23,9;82,9;0,22;1010,4
2020-01-26;24,1;80,1;0,44;1010,3
2020-01-27;23,2;81,3;0,76;1008,9
2020-01-28;22,7;76,9;0,35;1009
2020-01-29;23,4;70,2;0,4;1008,8
2020-01-30;22,9;72,2;0,68;1008,7
2020-01-31;22,3;72,9;0,51;1008,8
2020-02-01;21,6;74;0,68;1008,6
2020-02-02;22;69,5;0,35;1009,5
2020-02-03;21,5;72,2;0,42;1009,1
2020-02-04;21,7;70,7;0,59;1008,9
2020-02-05;21,5;71,6;0,42;1007,7
2020-02-06;21,3;73;0,7;1008,3
2020-02-07;20,7;75;1,01;1009,2
2020-02-08;20,4;72,7;0,31;1009,4
2020-02-09;21,1;72;0,74;1009,2
2020-02-10;21,4;70,8;0,61;1008,7
2020-02-11;21;72,8;0,47;1007,2
2020-02-12;21,4;72,4;0,2;1006,9
2020-02-13;21,4;74,2;0,44;1005,8
2020-02-14;22,4;70;0,33;1006,4
2020-02-15;21,9;74,8;0,18;1006,6
2020-02-16;22,1;74,8;0,42;1005,7
