region;personas_hogar;meses_en_chile;mayores_15;sexo_seleccionado;edad_seleccionado;nacionalidad_seleccionado;barrio;P1;P2;P3;P5_pais;P6;P8;P15;P24;I_1_P58;I_2_P58;I_3_P58;I_4_P58;I_5_P58;I_6_P58;I_7_P58;I_1_P75;I_2_P75;I_3_P75;I_4_P75;I_5_P75;I_6_P75;I_7_P75;I_8_P75;I_9_P75;I_10_P75;I_11_P75;P76;P77;P77_cod_O1;P77_cod_O2;P77_cod_O3;P78;P79;P80;P80_cod_O1;P80_cod_O2;P81;I_1_P82;I_2_P82;I_3_P82;I_4_P82;I_5_P82;I_6_P82;I_7_P82;I_8_P82
1;3;Sí;3;Hombre;60;Chileno;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;60; ; ;Chilena (exclusivamente);Soltero/a;Totalmente satisfecho;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;Sí;pidieron documentacion;Control de identidad (control preventivo); ; ;Satisfecho;No; ; ; ; ;Muy de acuerdo;Bastante de acuerdo;Nada de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Muy de acuerdo;Muy de acuerdo
1;4;Sí;1;Mujer;48;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;48;Ecuador; ;Otra nacionalidad (extranjeros);Soltero/a;9;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;1;Sí;1;Mujer;42;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;42;Colombia; ;Otra nacionalidad (extranjeros);Soltero/a;7;Muy en desacuerdo;De acuerdo;En desacuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;3;Sí;2;Hombre;42;Extranjero;Barrios de Iquique y Alto Hospicio;Esposo(a) o cónyuge;Hombre;42;Perú; ;Otra nacionalidad (extranjeros);Casado/a;9;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Poco de acuerdo
1;2;Sí;2;Hombre;19;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;19;Colombia; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);4;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;No responde [NO LEER]; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;4;Sí;2;Mujer;38;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;38;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;3;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;De acuerdo;No sabe [NO LEER];De acuerdo;En desacuerdo;No responde [NO LEER]; ; ; ; ; ;No responde [NO LEER]; ; ; ; ;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo
1;3;Sí;3;Hombre;31;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;31;Perú; ;Otra nacionalidad (extranjeros);Conviviendo o en pareja (no casado/a tampoco unión civil);4;Muy de acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;De acuerdo;En desacuerdo;Muy de acuerdo;No; ; ; ; ; ;No; ; ; ; ;Bastante de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;1;Sí;1;Mujer;41;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Mujer;41;Bolivia; ;Otra nacionalidad (extranjeros);Soltero/a;3;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;Muy de acuerdo;De acuerdo;De acuerdo;No responde [NO LEER]; ; ; ; ; ;No; ; ; ; ;Muy de acuerdo;Muy de acuerdo;Muy de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;6;Sí;3;Mujer;25;Extranjero;Barrios de Iquique y Alto Hospicio;Hijo(a);Mujer;25;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;5;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;En desacuerdo;Muy en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;De acuerdo;De acuerdo;De acuerdo;Muy de acuerdo;Muy de acuerdo;En desacuerdo;No sabe [NO LEER];No responde [NO LEER]; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Poco de acuerdo;Poco de acuerdo;Bastante de acuerdo;Muy de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
1;1;Sí;1;Hombre;58;Extranjero;Barrios de Iquique y Alto Hospicio;Jefe(a) de Hogar;Hombre;58;Perú; ;Otra nacionalidad (extranjeros);Soltero/a;9;De acuerdo;De acuerdo;Ni de acuerdo ni en desacuerdo;Ni de acuerdo ni en desacuerdo;De acuerdo;De acuerdo;De acuerdo;En desacuerdo;En desacuerdo;En desacuerdo;Muy en desacuerdo;Muy en desacuerdo;Muy en desacuerdo;En desacuerdo;En desacuerdo;De acuerdo;En desacuerdo;En desacuerdo;No; ; ; ; ; ;No; ; ; ; ;Poco de acuerdo;Bastante de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo;Bastante de acuerdo;Poco de acuerdo
